track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3bo1h1GwmuI4NYg61mXygC,181572,0.568,0.682,-4.371,0.133,0.255,0.0,0.126,0.525,167.963
5gcQ9obFGkSPciwUjHCgRs,214326,0.539,0.809,-5.33,0.068,0.408,0.0,0.303,0.627,141.824
70bT6oIKDlFzTq2PsrJhLz,188136,0.692,0.758,-5.594,0.0641,0.0223,0.0,0.169,0.685,97.057
4MbUKobF4UqsNaIPc2FuU8,205276,0.651,0.627,-5.567,0.109,0.065,0.0,0.203,0.484,96.002
1tdo8klXa32feVmHxFRF2A,205468,0.738,0.377,-8.979,0.22,0.616,0.0,0.127,0.538,87.913
2pEhOVkDWQqNdCfgxW4Nu6,187342,0.782,0.65,-5.661,0.0377,0.0711,0.0,0.108,0.68,114.993
7mgszK6XFiihnQ7kfrie8N,207315,0.731,0.804,-5.235,0.245,0.0826,0.0,0.145,0.611,166.158
0anUgBvnA4u5LsHUeLRprc,189147,0.942,0.566,-4.834,0.226,0.0773,0.0,0.11,0.479,132.858
4V9K7DLPZNhCH77wLsAiNF,193333,0.89,0.682,-5.249,0.323,0.104,0.0,0.116,0.526,143.979
669gYFBhezfYPXQP1hBMOX,196835,0.872,0.699,-6.127,0.0487,0.276,0.0,0.103,0.725,138.929
6vbe3GmRG30x2nraEvHudq,216541,0.781,0.469,-8.456,0.0549,0.445,0.0,0.0921,0.518,132.989
2z0LyXYmPgos95olIAQIO3,226286,0.804,0.683,-7.344,0.055,0.0109,0.0,0.0693,0.229,140.035
4Y4Xmm8OLUJSdR9OkaxV97,210411,0.66,0.633,-5.782,0.149,0.689,0.0,0.129,0.715,145.995
68ra53eElfqZM8G9fuOFSj,274313,0.758,0.574,-7.833,0.217,0.216,0.0,0.144,0.706,144.081
5FmUNIsqr4gC4lwJtea8tX,133171,0.759,0.52,-7.042,0.447,0.0187,0.0,0.313,0.116,123.189
1T40GpRFJiUIulCqLpAe4v,167397,0.851,0.621,-6.679,0.362,0.0233,0.0,0.161,0.532,150.969
2B6CpkK0Rz67UzwDTW2Jt7,196636,0.898,0.567,-6.446,0.302,0.0165,0.0,0.109,0.602,141.973
2ny1lTxfuQls8r5yX4Ad3g,213520,0.752,0.658,-6.297,0.342,0.0421,0.0,0.0927,0.387,151.951
3kAyhdS74oZn8nOqifDEf2,166637,0.839,0.502,-5.886,0.398,0.11,0.0,0.115,0.585,150.07
6LnOiHOWTAGJ5vAN6wBkqc,193859,0.773,0.505,-5.716,0.061,0.0485,0.0,0.158,0.142,160.031
5LT018mJrqHdNwdltZ1hAM,228796,0.94,0.532,-5.998,0.358,0.12,0.0,0.0925,0.599,123.043
0NfbJvgf9mmdnoyzxNf46H,210175,0.866,0.72,-6.641,0.0646,0.112,0.0,0.172,0.785,136.077
1WFkr1TlmOQEgrLndQI6sY,181040,0.867,0.517,-6.914,0.307,0.0116,0.0,0.31,0.271,143.043
1PmY0lBdi87ma0JSlrcdAd,261781,0.494,0.743,-6.716,0.441,0.0391,0.0,0.068,0.59,160.084
50lt8PNUgIYnIrr3BPp2Cv,204117,0.827,0.615,-5.879,0.222,0.0159,0.0,0.307,0.221,132.996
5MxBxefjpl4hmbxgdfse8x,184737,0.898,0.641,-7.673,0.297,0.0154,0.0,0.665,0.578,151.937
1yh1VrgbKyL493x9saxxqQ,243936,0.615,0.584,-5.638,0.235,0.00405,0.0,0.114,0.529,162.169
7y8Xlx3c6xpyN0DqYGb8FG,222295,0.862,0.624,-5.348,0.147,0.183,0.0,0.195,0.523,122.029
3f9RZbFJrmttvXYwiwqDlb,280666,0.801,0.596,-4.72,0.0534,0.00301,0.0,0.162,0.134,120.028
7JsuXl9Odf3V38ksu4FWDZ,186843,0.773,0.742,-5.453,0.162,0.00198,0.0,0.558,0.35,148.949
6QeUzTuBoasiii8nevDciq,201980,0.701,0.546,-5.918,0.133,0.435,0.0,0.188,0.118,151.9
5v1STk4ZTTDrhgCs6LD3nd,182400,0.873,0.591,-7.332,0.293,0.00102,0.0,0.13,0.188,150.057
29s4u1adFGLWtGehbR5xkq,144361,0.898,0.577,-7.785,0.238,0.0361,0.0,0.176,0.266,83.018
4kfeRwpq5KUaqTkgi4TbDF,205666,0.691,0.632,-7.598,0.0513,0.122,0.0,0.0646,0.488,169.982
6PHbWsTTlmQKF9i9VC1KFv,225348,0.595,0.534,-8.747,0.318,0.0106,0.00157,0.107,0.134,162.066
12ZpiGAd2uPgJiofgoZMue,142979,0.95,0.5,-8.18,0.399,0.103,3.77e-05,0.103,0.598,114.009
7enaBBJnekyUCcXRuwGEH6,189342,0.931,0.574,-5.695,0.381,0.283,0.0,0.274,0.449,129.967
66z5CuZkqkb18VhFTRwbZk,193657,0.884,0.436,-9.922,0.255,0.011,0.0,0.101,0.254,119.013
740kQ8xwSGloumdiKR5Cwz,167552,0.768,0.526,-7.182,0.209,0.237,0.0,0.139,0.473,139.999
3cFHCXuBZKMJd8Q4Wt8RB3,148246,0.864,0.689,-7.273,0.22,7.68e-05,0.000467,0.111,0.412,152.946
5i8AHhRU9tfp8c3drQetaa,189501,0.79,0.569,-7.591,0.235,0.22,0.0,0.161,0.213,86.011
5D2M4HrTJjrksPGDOKa3tY,173609,0.858,0.539,-7.964,0.369,0.176,0.0,0.126,0.436,84.531
0biVzpdI2z0vAxwfU9xuuA,236819,0.935,0.472,-9.304,0.0575,0.0455,0.0,0.19,0.659,130.041
021lWIHJrURZrmvYQ1xcM8,207739,0.931,0.667,-7.043,0.318,0.0144,0.0,0.15,0.667,142.039
6b3i6FDLfhuB3OB8zeANrH,175017,0.878,0.57,-8.6,0.146,0.0931,0.000227,0.106,0.298,79.997
6n6CmyLTCIXJCPZnv7h2rn,259071,0.769,0.586,-8.609,0.385,0.169,6.6e-06,0.138,0.137,90.978
1K5KBOgreBi5fkEHvg5ap3,237918,0.795,0.574,-6.903,0.487,0.067,0.0,0.15,0.537,142.053
1Sm3NRIXjCqYWSi8NlV8fd,208975,0.775,0.542,-7.532,0.474,0.162,0.0,0.14,0.326,112.456
05TpY5Fov3Hgfp8V1KILZ8,201907,0.854,0.599,-7.406,0.355,0.022,0.0,0.173,0.849,157.031
3Uoy2lrZdhocMWO0jIdjAp,208258,0.827,0.664,-5.756,0.176,0.0122,0.0,0.251,0.198,120.672
4Qd0pa3JO76UEwhos9JmN0,314761,0.79,0.566,-8.33,0.437,0.106,0.0,0.119,0.586,142.016
19YKaevk2bce4odJkP5L22,314075,0.543,0.394,-9.637,0.0864,0.695,0.000239,0.108,0.118,137.811
2ZWlPOoWh0626oTaHrnl2a,249191,0.567,0.388,-9.579,0.0384,0.782,0.000309,0.248,0.452,116.362
3xKsf9qdS1CyvXSMEid6g8,184516,0.544,0.552,-7.45,0.0991,0.67,4.57e-05,0.415,0.554,159.738
1IdZvb2XK8NmsovQlV6CPn,86944,0.657,0.431,-11.147,0.541,0.985,0.0,0.149,0.935,83.509
4xR3MAscflQ262kMeiKshQ,184600,0.423,0.294,-13.673,0.0593,0.882,5.43e-06,0.0981,0.401,129.146
5GUYJTQap5F3RDQiCOJhrS,249668,0.572,0.209,-10.413,0.0313,0.765,0.0,0.356,0.446,80.069
2JUqYobT8NvARdPmc4ES2x,66786,0.513,0.131,-12.787,0.467,0.983,0.00414,0.12,0.814,105.808
7eqoqGkKwgOaWNNHx90uEZ,307151,0.466,0.548,-9.362,0.118,0.42,1.01e-06,0.113,0.423,89.815
2qtoRFCOEL1gRn5q9DJC7F,78743,0.541,0.747,-6.811,0.162,0.404,0.0,0.086,0.604,83.286
17yrCsl1Ai6CZLBmGj6d6p,158478,0.201,0.724,-6.744,0.0499,0.258,0.0281,0.296,0.167,154.395
73D5hBkiVZkopZrmBZTBWf,68588,0.632,0.18,-20.55,0.685,0.878,0.0,0.249,0.704,85.004
1VZLEW5ZfcAbKZ94XQiSZF,85754,0.827,0.673,-8.401,0.23,0.192,0.00136,0.146,0.779,78.007
