artist_id	artist_name	artist_genre	artist_popularity	artist_followers
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	pop	90	935839
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset	atl hip hop	83	1921149
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	brooklyn drill	94	4070161
699OTQXzgjhIYAHMy9RyPD	Playboi Carti	atl hip hop	87	4400342
6jJ0s89eD6GaHleKKya26X	Katy Perry	dance pop	87	17493219
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	alternative metal	87	18022740
5F1aAS1duwlzExnPs3l2Xe	Pooh Shiesty	memphis hip hop	78	130184
2HPaUgqeutzr3jx5a9WyDV	PARTYNEXTDOOR	pop	82	2781912
3aQeKQSyrW4qWr35idm0cy	T-Pain	dance pop	82	3096115
0VRj0yCOv2FXJNP47XQnx5	Quavo	atl hip hop	85	4712801
1dfeR4HaWDbWqFHLkxsg1d	Queen	classic rock	90	32129360
3ApUX1o6oSz321MMECyIYd	Quinn XCII	electropop	78	593817
5IcR3N7QB1j6KBL8eImZ8m	ScHoolboy Q	gangster rap	79	3524969
14zUHaJZo1mnYtn6IBRaRP	Justin Quiles	latin	89	2507203
6i392l38cR3uBPF0DbNs7S	Quality Control	hip hop	72	732960
6MERXsiRbur2oJZFgYRDKz	Vitamin String Quartet	bow pop	73	529971
4IprNlQiJZUUJhDl0fL2SL	Quando Rondo	melodic rap	69	1326397
3nViOFa3kZW8OMSNOzwr98	Queen Naija	dance pop	70	1756115
5lHRUCqkQZCIWeX7xG4sYT	Rich Homie Quan	atl hip hop	70	2291697
6Xgp2XMz1fhVYe7i6yNAax	Trippie Redd	melodic rap	89	5856330
757aE44tKEUQEqRuT6GnEB	Roddy Ricch	melodic rap	89	5491549
5pKCCKE2ajJHZ9KAiaK11H	Rihanna	barbadian pop	92	41109440
06HL4z0CvFAxyc27GXpf02	Taylor Swift	dance pop	98	36945833
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	rap	95	15164378
1URnnhqYAYcrqrcwql10ft	21 Savage	atl hip hop	88	9177498
7tYKF4w9nC0nq9CsPZTHyP	SZA	pop	89	4577255
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	canadian contemporary r&b	98	28912669
50co4Is1HCEo8bhOyUWKpn	Young Thug	atl hip hop	91	5912391
2Sf2VjK8vpOU9i9VfshmO7	Voskresenie	classic russian rock	35	33136
1VPmR4DJC1PlOtd0IADAO0	$uicideboy$	dark trap	85	2979511
23zg3TcAtWQy7J6upgbUnj	Usher	atl hip hop	84	8441040
1U1el3k54VvEUzo3ybLPlM	Kali Uchis	colombian pop	82	1371975
2pSObt5Fk8izuX8ZfI3jRn	Upchurch	contemporary country	75	849556
4xFUf1FHVy696Q1JQZMTRj	Carrie Underwood	contemporary country	75	4421647
0u2FHSq3ln94y5Q57xazwf	Keith Urban	australian country	77	4083894
0CEFCo8288kQU7mJi25s6E	Hollywood Undead	alternative metal	76	1906278
51Blml2LZPmy7TTiAg47vQ	U2	irish rock	82	7907850
74cb3MG0x0BOnYNW1uXYnM	Hillsong UNITED	ccm	76	2835950
6QtgPSJPSzcnn7dPZ4VINp	King Von	chicago rap	82	762456
1ShZZUjkbXCjhwrb18BA8I	Bryce Vine	pop	74	379277
2cnMpRsOVqtPMfq7YiFE6K	Van Halen	album rock	77	3770093
44NX2ffIYHr6D4n7RaZF7A	Van Morrison	classic rock	76	1955398
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	emo rap	93	25310928
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	country rap	83	4038129
3NPpFNZtSTHheNBaWC82rB	X Ambassadors	indie poptimism	78	2354097
0AsThoR4KZSVktALiNcQwW	Chloe x Halle	alternative r&b	71	899145
0ghlgldX5Dd6720Q3qFyQB	TOMORROW X TOGETHER	k-pop	77	2985462
3uo0ix4Y67XHVWBhXXIY1S	Xavier Wulf	dark trap	69	343407
4TnGh5PKbSjpYqpIdlW5nz	Monsta X	k-pop	73	3239425
3EXdLajEO02ziZ90P90bSW	Lil Xan	emo rap	69	2134841
5bCwYvvFvWOEXtO9W7p0Iv	Craig Xen	dark trap	66	170616
3gd8FJtBJtkRxdfbTu19U2	Mumford & Sons	modern folk rock	78	5966257
3crnzLy8R4lVwaigKEOz7V	E-40	cali rap	73	622880
77tT1kLj6mCWtFNqiOmP9H	Daryl Hall & John Oates	album rock	76	1405979
1wZtkThiXbVNtj6hee6dz9	Wisin & Yandel	electro latino	82	4243419
1moxjboGR7GNWYIMWsRjgG	Florence + The Machine	baroque pop	78	5474847
3gIRvgZssIb9aiirIg0nI3	Jeremy Zucker	electropop	83	1446422
5ZsFI1h6hIdQRw2ti0hz81	ZAYN	dance pop	86	14535949
36QJpDe2go2KgaRleHCDTp	Led Zeppelin	album rock	82	10264412
2qxJFvFYMEDqd7ui6kSAcq	Zedd	complextro	82	5346978
6yJCxee7QumYr820xdIsjo	Zac Brown Band	contemporary country	75	2521805
0vRvGUQVUjytro0xpb26bs	Arizona Zervas	pop rap	77	572682
1Xylc3o4UrD53lo9CvFvVg	Zara Larsson	dance pop	82	8359059
0YC192cP3KPCRWx8zr8MfZ	Hans Zimmer	german soundtrack	80	2417282
40ZNYROS4zLfyyBSs2PGe2	Zach Bryan	oklahoma country	69	125803
21451j1KhjAiaYKflxBjr1	Zion & Lennox	latin	82	5087456
