album_id	album_name	album_release_date	artist_id
47kzblYQZC439seeROq90P	The Voice (Deluxe)	2021-01-29	3hcs9uc56yIGFCSy9leWe7
12TuxCWI6BzfSXaZMKMrPn	The Voice	2020-12-24	3hcs9uc56yIGFCSy9leWe7
2lTzPbjHdZgNyV5cvhT7qE	Just Cause Y'all Waited 2 (Deluxe)	2020-06-26	3hcs9uc56yIGFCSy9leWe7
6M4Nu5UgX097dxeF2lm9P8	Featuring Ty Dolla $ign	2020-10-23	7c0XG5cIJTrrAgEC3ULPiq
16rRmI5wxWWO5dnRWUKCPA	MIH-TY	2018-10-26	3UrWALysNWwb24BnlAzSwm
2wtx5XeYMFOpY40eK9f7fA	Beach House 3 (Deluxe Edition)	2018-05-11	7c0XG5cIJTrrAgEC3ULPiq
1gMxiQQSg5zeu4htBosASY	Made In The A.M. (Deluxe Edition)	2015-11-13	4AK6F7OLvEQ5QYCBNiQWHq
4gCNyS7pidfK3rKWhB3JOY	FOUR (Deluxe)	2014-11-17	4AK6F7OLvEQ5QYCBNiQWHq
7p1fX8aUySrBdx4WSYspOu	Midnight Memories (Deluxe)	2013-11-25	4AK6F7OLvEQ5QYCBNiQWHq
2sWX3HYnZjPZ9MrH6MFsBt	Take Me Home (Expanded Edition)	2012-11-12	4AK6F7OLvEQ5QYCBNiQWHq
6cunQQ7YZisYOoiFu2ywIq	Up All Night	2012-05-25	4AK6F7OLvEQ5QYCBNiQWHq
5XpEKORZ4y6OrCZSKsi46A	Norman Fucking Rockwell!	2019-08-30	00FQb4jTyendYWaN8pK0wa
4Eo5r6Sdgdhef6XT66X7ID	Lust For Life	2017-07-21	00FQb4jTyendYWaN8pK0wa
13k3IPnPlB9SWgTy2NusbH	Honeymoon	2015-09-18	00FQb4jTyendYWaN8pK0wa
6QkaLeuxTaYibek4fhwpmF	Diplo Presents Thomas Wesley: Snake Oil (Deluxe)	2020-12-18	5fMUXHkw8R8eOP2RNVYEZX
0B0YAftqQVpzUD7K12wDVg	Music Is The Weapon	2020-10-23	738wLrAtLtCtFOLvQBXOXp
0xJyM0DFwty067hIBH5fql	Music is the Weapon	2020-10-23	738wLrAtLtCtFOLvQBXOXp
7bYdYjEonvh7QGun2hQOJE	MMXX	2020-09-04	5fMUXHkw8R8eOP2RNVYEZX
2Om5VEKaBd4Afht33ToQGD	Diplo Presents Thomas Wesley Chapter 1: Snake Oil	2020-05-29	5fMUXHkw8R8eOP2RNVYEZX
3JfSxDfmwS5OeHPwLSkrfr	Origins (Deluxe)	2018-11-09	53XhwfbYqKCa1cC15pYq2q
33pt9HBdGlAbRGBHQgsZsU	Evolve	2017-06-23	53XhwfbYqKCa1cC15pYq2q
6ecx4OFG0nlUMqAi9OXQER	Smoke + Mirrors (Deluxe)	2015-10-30	53XhwfbYqKCa1cC15pYq2q
3FHRtpBjpyLsWDL7RQmlKQ	Smoke + Mirrors (Asia Tour Edition)	2015-07-10	53XhwfbYqKCa1cC15pYq2q
4VRebE7OlgjE896hS92gjo	2K20, Pt. 3 (Live)	2020-12-25	4VMYDCV2IEDYJArk749S6m
0CDLQ6cxLj0UydmFX394VL	2K20, Pt. 2 (Live)	2020-12-12	4VMYDCV2IEDYJArk749S6m
0N091826fEGbqVB1NnKguC	2K20, Pt. 1 (Live)	2020-12-04	4VMYDCV2IEDYJArk749S6m
3xtMlD79fXUjZ92e1c4TnX	King Daddy	2013-01-01	4VMYDCV2IEDYJArk749S6m
6EHVngrtT0klxOIPSX8olL	Muve Sessions: Prestige	2012-01-01	4VMYDCV2IEDYJArk749S6m
0g1F5eGVwX4Sxi1n8ojPkE	Dan + Shay	2018-06-22	7z5WFjZAIYejWy0NI5lv4T
4rQa0t2qWm1MNPy7DNEUHB	Obsessed	2016-06-03	7z5WFjZAIYejWy0NI5lv4T
2Zkvy7eARxR3qjKNWMiwMa	Where It All Began	2014-04-01	7z5WFjZAIYejWy0NI5lv4T
7GwY65mTwrw2Rf519I5W6D	Where It All Began (Commentary)	2014-03-28	7z5WFjZAIYejWy0NI5lv4T
0YF8PfcGbsKg5IaFyPnlyY	Ventura	2019-04-12	3jK9MiCrA42lLAdMGUZpwa
4a6u9TUkH1MW2zZkFUYlV0	Ventura (Instrumentals)	2019-04-12	3jK9MiCrA42lLAdMGUZpwa
3rqqwtJE89WoWvMyPTvbZc	Oxnard	2018-11-16	3jK9MiCrA42lLAdMGUZpwa
1krSTklspcBqtOZqdzxALx	Bob Marley Legacy: Punky Reggae Party	2020-12-11	2QsynagSdAqZj3U9HgDzjD
2M9E6uD6mYqRFTjqcaVzzC	Live At The Rainbow, 4th June 1977 (Remastered 2020)	2020-06-12	2QsynagSdAqZj3U9HgDzjD
3lxHj7xzLBkPpg98eJ7G8B	Exodus 40	2017-06-02	2QsynagSdAqZj3U9HgDzjD
0KI2QGv4bRgVsab4fR4XLn	Exodus 40 (40th Anniversary Deluxe Edition)	2017-06-02	2QsynagSdAqZj3U9HgDzjD
3DZmcdIS8JlZwYFhbN9Pbc	Easy Skanking In Boston '78	2015-02-03	2QsynagSdAqZj3U9HgDzjD
0U3nI78LUpAwprraUf7vAS	Reboot	2019-04-05	0XKOBt59crntr7HQXXO8Yz
2X3fLHcJN2Quyzaf4Hm3hz	The Essential Brooks & Dunn	2012-04-17	0XKOBt59crntr7HQXXO8Yz
1ZXM9jY3Bsg12KXgwftBrO	#1s ... and then some	2009-09-08	0XKOBt59crntr7HQXXO8Yz
17TAGHz2PNov3uOzx2lNrn	Cowboy Town	2007-10-02	0XKOBt59crntr7HQXXO8Yz
0Pj9usAe5cnhsfBAIqgcOP	Hillbilly Deluxe	2005-08-30	0XKOBt59crntr7HQXXO8Yz
20mlgqmD6YJwkNuAfLRcDC	Naive	2019-07-26	2oX42qP5ineK3hrhBECLmj
4NkgzNCOzuki4FuWUOY28R	Naïve	2019-07-26	2oX42qP5ineK3hrhBECLmj
0lq7zwC6uQiu8pwW5FK3Fb	The Good Parts	2017-12-01	2oX42qP5ineK3hrhBECLmj
3aITAVBURujVe8fhI2seeR	Pluto x Baby Pluto (Deluxe)	2020-11-13	1RyvyyTE3xzB2ZywiAwp0i
48xpWR8K6CGpy3ETAym3pt	Pluto x Baby Pluto	2020-11-13	1RyvyyTE3xzB2ZywiAwp0i
4bNPOFOzxGhF5jhfIK6lit	High Off Life	2020-05-15	1RyvyyTE3xzB2ZywiAwp0i
3mH6qwIy9crq0I9YQbOuDf	Blonde	2016-08-20	2h93pZq0e7k5yf4dywlkpM
392p3shh2jkxUxY2VHvlH8	channel ORANGE	2012-07-10	2h93pZq0e7k5yf4dywlkpM
623Ef2ZEB3Njklix4PC0Rs	channel ORANGE (Explicit Version)	2012-07-10	2h93pZq0e7k5yf4dywlkpM
3vi20DRHkqv4HyVg9Rt9wC	Fuck The World	2020-02-07	3tlXnStJ1fFhdScmQeLpuG
5Bp1EX2ypdFnJ5IUyiRl8w	Sonder Son	2017-10-13	3tlXnStJ1fFhdScmQeLpuG
6dfdmMDGw988CzNEFdnIcY	Life Rolls On	2021-02-12	3b8QkneNDz4JHKKKlLgYZg
0aJHugDCe9xhy5kwqGsMh5	6-Pack	2021-01-15	3b8QkneNDz4JHKKKlLgYZg
3GV2TdiVjl8E5XXBEuiiyX	The Acoustic Sessions	2019-10-18	3b8QkneNDz4JHKKKlLgYZg
3mlM7EnbGFBqcYNZ32ULWh	Before the Beginning - 1968-1970 Rare Live & Demo Sessions (Remastered)	2019-11-15	08GQAI4eElDnROBrJRGE0X
06JqOkwwy91OxrApXclzYf	50 Years - Don't Stop	2018-11-16	08GQAI4eElDnROBrJRGE0X
0aZ2mtYjolBan3EzlxglVD	ライヴ・イン・コネチカット1975 (Live)	2018-10-24	08GQAI4eElDnROBrJRGE0X
6dMdadS6Ng71pD9As93ufx	Say You Will	2003-04-15	08GQAI4eElDnROBrJRGE0X
6YEnWIpSS19x0lKzJPi9Ej	Shrine '69	2000-04-28	08GQAI4eElDnROBrJRGE0X
4lsdX5CimNaabkZUxX6rx8	En Letra de Otro	2019-08-23	329e4yvIujISKGKz1BZZbO
1PgFsarDcIwCvLX32DpcxB	Gangalee	2019-04-26	329e4yvIujISKGKz1BZZbO
0v94MG5nbp4w6xdeFkfQrA	TrapXficante	2017-09-15	329e4yvIujISKGKz1BZZbO
33Yz6vjgvetL33JAMEnXBR	Imperio Nazza Farruko Edition	2017-02-21	329e4yvIujISKGKz1BZZbO
4ic94lYuJ37YBXfgsMDUWf	Farruko Presents Los Menores	2016-02-22	329e4yvIujISKGKz1BZZbO
7B9PpEnF7Y4AEAXdGCFuru	Lofi Hip Hop Music, Vol. 1	2019-08-09	1dABGukgZ8XKKOdd2rVSHM
2MlgtDuxXXz8c8Toc9kKTd	Believers Never Die (Volume Two)	2019-11-15	4UXqAaa6dQYAk18Lv7PEgX
16xtTZvPH6PXcwSqYqJHHG	MANIA	2018-01-19	4UXqAaa6dQYAk18Lv7PEgX
6oJ0SrvNRQMBgUAlJfoYa4	Make America Psycho Again	2015-10-30	4UXqAaa6dQYAk18Lv7PEgX
1FyNZvJ6MHO01kl3ySMPdc	Medicine At Midnight	2021-02-05	7jy3rLJdDQY21OgRLCZ9sD
4Sb67WEPsYgQxd7GItaAtI	Medicine At Midnight (Track Commentary)	2021-02-03	7jy3rLJdDQY21OgRLCZ9sD
6KMkuqIwKkwUhUYRPL6dUc	Concrete and Gold	2017-09-15	7jy3rLJdDQY21OgRLCZ9sD
2qwN15acAl3sm3Idce5vK9	Sonic Highways	2014-11-09	7jy3rLJdDQY21OgRLCZ9sD
5lnQLEUiVDkLbFJHXHQu9m	Wasting Light	2011-04-12	7jy3rLJdDQY21OgRLCZ9sD
3wHG2s2BpID4j4FMLgAldK	Reprise Rarities (Vol. 2)	2021-02-05	1Mxqyy3pSjf8kZZL4QVxS0
25MEuRQWO9X7LoFqvX1fHU	Reprise Rarities (Vol. 1)	2020-12-11	1Mxqyy3pSjf8kZZL4QVxS0
7d2rtsRYi8wv3nWDUZIqNZ	Let It Snow! Let It Snow! Let It Snow!	2020-12-04	1Mxqyy3pSjf8kZZL4QVxS0
1mgf88QHwFmAbkjoR4kt6q	ベスト・アーティスト・コレクション・フランク・シナトラ	2020-11-10	1Mxqyy3pSjf8kZZL4QVxS0
2NhDf7SiTn63n0RhiL9bF5	Simply ... Blue Eyes! (The 2020 Remasters)	2020-06-05	1Mxqyy3pSjf8kZZL4QVxS0
39xhYyNNDatQtgKw2KdXMz	THE GOAT	2020-05-15	6AgTAQt8XS6jRWi4sX7w49
26ztFK3E69j5THJQdyxC5w	Die A Legend	2019-06-07	6AgTAQt8XS6jRWi4sX7w49
13lMLnHs5qsmm687oRc3VC	Tickets To My Downfall (SOLD OUT Deluxe)	2020-09-29	6TIYQ3jFPwQSRmorSezPxX
57lgFncHBYu5E3igZnuCJK	Tickets To My Downfall	2020-09-25	6TIYQ3jFPwQSRmorSezPxX
0bJIHF1Or1YBLFBMwv53K2	Hotel Diablo	2019-07-05	6TIYQ3jFPwQSRmorSezPxX
05c49JgPmL4Uz2ZeqRx5SP	Chromatica	2020-05-29	1HY2Jd0NmPuamShAr6KMms
4sLtOBOzn4s3GDUv3c5oJD	A Star Is Born Soundtrack	2018-10-05	1HY2Jd0NmPuamShAr6KMms
3edjzMAVB9RYRd4UcZBchx	A Star Is Born Soundtrack (Without Dialogue)	2018-10-05	1HY2Jd0NmPuamShAr6KMms
2ZUwFxlWo0gwTsvZ6L4Meh	Joanne (Deluxe)	2016-10-21	1HY2Jd0NmPuamShAr6KMms
7Myw8J0byMIDilWT9vmZj5	So Icy Gang, Vol. 1	2020-10-16	13y7CgLHjMVRMDqxdx0Xdo
7hEgFnAICf8FqaERqmehOT	Gucci Mane Presents: So Icy Summer	2020-07-03	13y7CgLHjMVRMDqxdx0Xdo
5kc6aGbKHwyTJi69yLZOtZ	Beggin For A Body	2020-05-28	3pAtVSFUcp2b8gY93G0y6u
41Mzki3Yox73btDc51evLi	East Atlanta Santa 3	2019-12-20	13y7CgLHjMVRMDqxdx0Xdo
3BAxkLFCkJEme67Z0ztMz3	I'm Him	2019-10-03	1gPhS1zisyXr5dHTYZyiMe
0iU6k5p5NFNbAc1MOFMusJ	Luca Brasi 3	2018-09-28	1gPhS1zisyXr5dHTYZyiMe
3wcPvgkFRb42NQamzvzKz9	By Any Means 2	2017-09-22	1gPhS1zisyXr5dHTYZyiMe
3MH4gUVIghBW3W6Jr3aWh9	The Beautiful & Damned (Deluxe Edition)	2020-12-18	02kJSzxNuaWGqwubyUba0Z
5a4Yx5hc7VRHUBeNX56euP	When It's Dark Out (Deluxe Edition)	2020-12-11	02kJSzxNuaWGqwubyUba0Z
555CY37YtgVd2d102DxQqM	Everything's Strange Here	2020-07-08	02kJSzxNuaWGqwubyUba0Z
77Q0xwlCfFLhUNO1Sh8ORM	Scary Nights	2019-10-18	02kJSzxNuaWGqwubyUba0Z
5obQ9rPASQW2mLxYM8Ko6Z	Rare (Deluxe)	2020-04-09	0C8ZW7ezQVs4URX5aX7Kqx
3YPFaTR7WMi1Hd4NVKdCJx	Rare	2020-01-10	0C8ZW7ezQVs4URX5aX7Kqx
5ngFWcqWAIO19chggDAmbX	Revival	2015-10-09	0C8ZW7ezQVs4URX5aX7Kqx
6bKougqSCNbYUEx433cryC	Dreamland (+ Bonus Levels)	2020-08-11	4yvcSjfu4PC0CYQyLy4wSq
5bfpRtBW7RNRdsm3tRyl3R	Dreamland	2020-08-07	4yvcSjfu4PC0CYQyLy4wSq
6qb9MDR0lfsN9a2pw77uJy	How To Be A Human Being	2016-08-26	4yvcSjfu4PC0CYQyLy4wSq
0dd6bX3CRdybDCgltyoItP	ZABA (Deluxe)	2014-06-06	4yvcSjfu4PC0CYQyLy4wSq
1ysohK5wUmM4hDTvGUzR0Z	BADLANDS (Live From Webster Hall)	2020-08-28	26VFTg2z8YR0cCuwLzESi2
1hlapolkCnQLMgKcKNVCuc	Manic	2020-01-17	26VFTg2z8YR0cCuwLzESi2
7Iwr0S1ZsNr6k7o6pTFmMk	hopeless fountain kingdom	2017-06-02	26VFTg2z8YR0cCuwLzESi2
7GjG91tyHQNGEHzKJaqOi0	hopeless fountain kingdom (Deluxe)	2017-06-02	26VFTg2z8YR0cCuwLzESi2
7xV2TzoaVc0ycW7fwBwAml	Fine Line	2019-12-13	6KImCVD70vtIoJWnq6nGn3
1FZKIm3JVDCxTchXDo5jOV	Harry Styles	2017-05-12	6KImCVD70vtIoJWnq6nGn3
5g2INX6dnMIJG0xKygXwF3	Thats What They All Say	2020-12-11	2LIk90788K0zvyj2JJVwkJ
7AaqMMiYMvnMB3RcS8u3EY	Sweet Action	2020-03-13	2LIk90788K0zvyj2JJVwkJ
7xfcihbsBamUi6sezd0oOG	Confetti	2019-09-20	2LIk90788K0zvyj2JJVwkJ
0IMTA2Wz6p8CNZ0MDK2zvg	I Used To Know Her	2019-08-30	3Y7RZ31TRPVadSFVy1o8os
0pV0Mx07aMApIpF19oSQgY	H.E.R.	2017-10-20	3Y7RZ31TRPVadSFVy1o8os
3Bdtv2Y8lHrXOsboFA96hX	H.E.R. Volume 2	2017-06-16	3Y7RZ31TRPVadSFVy1o8os
6btE9k5ED8ydC8XY1K0kko	H.E.R. Volume 1	2016-09-09	3Y7RZ31TRPVadSFVy1o8os
2c7gFThUYyo2t6ogAgIYNw	Wasteland, Baby!	2019-03-01	2FXC3k01G6Gw61bmprjgqS
44zQnmrFcPCmPp6NLMfTuz	Hozier (Special Edition)	2014-11-06	2FXC3k01G6Gw61bmprjgqS
04E0aLUdCHnhnnYrDDvcHq	Hozier	2014-10-07	2FXC3k01G6Gw61bmprjgqS
4Pv7m8D82A1Xun7xNCKZjJ	Hozier (Expanded Edition)	2014-09-19	2FXC3k01G6Gw61bmprjgqS
2HaqChIDc5go3qxVunBDK0	Funk Wav Bounces Vol.1	2017-06-30	7CajNmpbOovFoOoasH2HaY
5oMRPoOe5sTMdsqYLGJCwf	Motion	2014-11-20	7CajNmpbOovFoOoasH2HaY
