track_id	track_name	track_artist_id	track_album_id	track_popularity	track_explicit
7u6DMPznGbpziuEgCE0JGQ	get well soon	66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	64	True
2njoi6yM86QQwYnfyKjQzH	Nobody Safe	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	51	True
3DhQknNJsPtkRj1D7bxjvl	No Flash	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	54	True
108I14Gq6OlXJxMEWgh9d4	You Bad	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	52	True
13mPDke1bFw3xWcDkj1HJp	Bankroll	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	56	True
5JXAFhn7cDrXevv7OHyUoo	Automatic	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	54	True
6xzIQLra6UwHj51bK8TaTi	So Sorry	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	49	True
5uA6k6kDVyW4cZ7OL8CLvO	Sex	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	56	True
4xy7XageX1m7ISA2SvdgMc	Doors Up	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	49	True
61qCOFYVc2N2No5F8EWrOC	Woke Up	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	51	True
0rvVfseiPDzCt1eRbQmqDI	Rings On	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	50	True
6NNl0FxxdFaxQ1Ce9USbBu	Took A Risk (feat. Quando Rondo)	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	49	True
6vuzzBnakGYyAYP2LSicEZ	Body Bag (feat. Lil Wayne)	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	51	True
5DwryKFGHHOXLKs2gYjUZr	Sorry Momma (feat. Rod Wave)	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	57	True
0fmrlTIy4s4u9XdyHtfD1h	Brown Hair	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	50	True
6tLEWlmB8s9w37oQh0DmvE	Can't Let The World In	1pPmIToKXyGdsCF6LmqLmI	1w3bK9CG80xsuDPlrz5EV7	53	True
6XSadF5GjIqzOrHfrDIzu2	Whitey Bulger	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	56	True
2uEcc2UQrt9HFK2HRj9r2m	Around	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	63	True
1i3Ngjz77ce8CfhIjr1B7C	Chopper City	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	62	True
2ClQX5N6xcyojZcMNl5y2N	Toxic	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	59	True
2AWdgBMtPcN6pGw7o0YhGS	Casket Fresh	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	58	True
08jrrhjtzeklTU2tlyDixR	Mask On	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	54	True
4siF1t6msY9o2XhkiaaAMz	Funds	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	55	True
2swFbLA7eCNKujd0j0xXNz	I Expect You	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	57	True
4UiUo8eOWzY9qaium18hul	Off 1Tenth	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	55	True
5ovNohnxkQ7gOGEpnMvpkF	Thrasher	7wlFDEWiM5OoIAt8RSli8b	16KXrAw3eocY4j77dD2EUk	57	True
