track_id,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time_signature
5VW2MJaWGDswUJH2cQHg0h,145032,0.803,0.733,-8.823,0.0647,0.00237,0.869,0.151,0.631,120.033,11,0,4
31fYrVT9FUO9f65OqKHAR9,155533,0.555,0.968,-3.843,0.0624,2.44e-05,0.589,0.391,0.347,174.034,1,0,4
1Kc5wJYegU5ieGsJ9stmBW,142864,0.733,0.722,-5.402,0.0472,0.0424,0.878,0.0785,0.355,110.029,11,1,4
7ulA7GuJGJRUtXEBcq72VN,131030,0.779,0.724,-7.27,0.0442,0.0272,0.849,0.172,0.412,120.043,5,0,4
7ozizXIgAXr1oplo85WQpk,145032,0.642,0.906,-4.471,0.269,0.0347,0.00364,0.337,0.897,74.985,9,1,4
2eEFyxw82HzVFQ8094KtOh,166635,0.475,0.669,-7.289,0.0383,0.00518,0.00905,0.175,0.134,99.991,1,1,4
0n8CwVp1PEvHvKbMnS3Z0W,120047,0.644,0.982,-4.598,0.292,0.0147,0.00997,0.499,0.558,160.064,1,1,4
2FXT8cipZatOGrUow204jG,160817,0.554,0.742,-4.787,0.0376,0.000114,0.859,0.164,0.34,150.015,1,0,4
32QhIOOdXTxddxDgk4pJjG,123715,0.541,0.94,-5.366,0.0385,0.00809,0.908,0.119,0.909,159.99,11,0,4
6MEue3m9fwErI1pqKW98dg,156005,0.405,0.879,-4.322,0.0496,0.000907,0.865,0.172,0.0373,124.85,1,1,4
1jUrlUxj6DGHNRlEcVL3By,138196,0.623,0.825,-7.274,0.0432,0.0188,0.904,0.123,0.331,140.048,11,0,4
6tRzfEJxLMyiLi208hObwC,128029,0.755,0.567,-16.927,0.113,0.175,0.707,0.7,0.756,149.979,5,0,4
6i2usG7JSImnOzBOS5HP2t,119076,0.624,0.961,-3.154,0.231,0.00266,0.077,0.239,0.816,82.206,1,0,4
66Dw1jrHXimBh7ZQ3Wdesd,139284,0.465,0.944,-5.361,0.0728,0.0219,0.057,0.401,0.359,144.923,9,0,4
52gcYW7FrvPAPZzWpyAO1e,135792,0.697,0.558,-11.447,0.0523,0.165,0.205,0.0656,0.412,150.076,10,0,4
6HnClJIamph0bhS3SWyWJ6,139908,0.5,0.423,-13.242,0.0539,0.0103,0.946,0.083,0.168,75.027,0,1,4
2e38P3TNAyrXAdkfvDRQbB,136579,0.459,0.489,-13.297,0.0654,0.00454,0.394,0.0919,0.0514,150.466,1,1,4
442TZsAWb4bFkJcEkAu1vc,144212,0.536,0.406,-12.442,0.212,0.00678,0.573,0.0802,0.0916,76.102,7,1,4
55H9yXwHLRgKFn0rt9KjTH,134495,0.488,0.877,-5.509,0.374,0.00123,0.000749,0.596,0.134,120.17,5,1,4
6DJSiNqSAS9p7KoI6EnTo0,123111,0.407,0.96,-5.175,0.0707,0.0309,0.953,0.188,0.49,159.892,1,1,4
2C9gY2H3bx3aWHSQcdZZCi,134396,0.648,0.651,-12.149,0.0463,0.0445,0.352,0.149,0.633,150.037,6,0,4
3j0dFxXiV39xlRK9Qao3aL,161521,0.72,0.307,-15.231,0.0663,0.205,0.00954,0.0806,0.492,149.971,0,1,4
2pkQPIbrmNLbvtytuzHv09,136517,0.739,0.707,-10.249,0.108,0.0815,0.122,0.266,0.517,75.007,1,1,4
7kT82WKdRSP63oqW8rnk7U,131179,0.759,0.388,-14.249,0.364,0.0629,7.68e-05,0.0586,0.528,149.872,5,1,4
1GOeWJsGpMOuiL72aFHF0W,145596,0.731,0.871,-10.211,0.115,0.0452,0.962,0.215,0.628,75.006,1,1,4
549avEyav1szv6wuS3RH6n,130804,0.584,0.632,-13.522,0.038,0.000238,0.0118,0.126,0.0778,150.034,6,0,4
4gE0Ix3oLWyCustMMxduid,193236,0.482,0.866,-5.646,0.0376,0.00199,0.387,0.0811,0.147,75.011,5,0,4
5ZFUQ0IFRkT067rUNETXxd,158404,0.754,0.522,-11.821,0.164,0.0687,0.468,0.06,0.366,150.224,1,1,4
6pkYYwo50awT2IQlHilLWp,133092,0.547,0.99,-12.027,0.0447,0.00285,0.956,0.105,0.777,149.992,2,1,4
6pWAYYr307Xpbw2xn6L0ZT,152041,0.55,0.728,-12.3,0.0696,0.159,0.565,0.0655,0.194,150.045,2,1,4
1uQiIovCBCv93mBHLjmRS6,127317,0.487,0.888,-4.368,0.15,0.00334,0.0688,0.331,0.105,140.063,0,1,4
03hFUq15ZhhSVbRH3ZkL17,129604,0.673,0.488,-12.187,0.0701,0.408,0.00021,0.146,0.946,74.995,5,0,4
6cFTmsvlRTnVgaNGUjMQat,136029,0.682,0.6,-11.251,0.0855,0.0999,0.928,0.533,0.373,150.043,6,0,4
0NL6xqkrOTE4HthmBL8E48,151692,0.521,0.944,-4.711,0.105,0.00873,0.783,0.29,0.652,139.922,11,1,4
1FMughce9LL3LeisbQ6jh9,169784,0.48,0.887,-5.551,0.0672,0.00118,0.496,0.358,0.464,149.976,1,1,4
7pMJXZxEzlFn69bNMQ57r2,140894,0.306,0.95,-5.408,0.131,0.00604,0.923,0.162,0.162,149.348,5,0,4
06IyMaxKxT8DRRC1ghOF5P,141474,0.436,0.0857,-21.001,0.029,0.883,0.958,0.393,0.0391,94.996,11,1,4
0F1b5pXMSzp8CkbpKBtP2s,151200,0.214,0.0781,-22.366,0.0389,0.975,0.952,0.0808,0.101,200.087,5,1,4
6D8BDDQuI73S8sxEXhlSxG,150000,0.312,0.0589,-24.559,0.0349,0.987,0.927,0.36,0.155,179.749,7,1,4
1IyLSKhEYYZ5yUDuM0xUtZ,125024,0.542,0.152,-19.973,0.0373,0.951,0.968,0.0775,0.0738,119.993,2,1,5
60wCk81DzWLY5Hak4CQTSo,143783,0.495,0.0565,-19.431,0.0361,0.988,0.926,0.0811,0.0786,80.165,9,1,4
5893hXOgiZoE9oPOtbTIH6,149699,0.557,0.151,-18.65,0.0304,0.973,0.955,0.111,0.137,140.131,5,1,4
5dkikYvX4X0nDqzsLNEAEm,155262,0.324,0.103,-21.125,0.0339,0.938,0.908,0.423,0.0509,140.159,4,1,4
16HXVYRl3uQUtLicn4MI5E,130224,0.528,0.115,-20.456,0.0312,0.972,0.736,0.0823,0.146,139.967,3,1,4
5KT3wpkM2f2m9khDNggBoX,120828,0.57,0.106,-23.949,0.0338,0.94,0.956,0.279,0.221,145.026,6,1,4
629vksQLaJY4siGcWXuvSs,135000,0.631,0.263,-15.473,0.0406,0.52,0.778,0.0295,0.374,120.025,0,1,4
3N1gFtMYNWSdPl6IeBRL1G,151500,0.584,0.28,-13.921,0.0417,0.964,0.925,0.0955,0.541,160.023,7,1,4
6Ag2I8lRNHtiqahQ7neSSM,130000,0.357,0.293,-13.912,0.0319,0.948,0.936,0.388,0.0517,60.057,7,0,4
54EhCp9Rnwkgk8iBr8CcHg,131201,0.113,0.181,-16.33,0.0342,0.972,0.918,0.09,0.108,178.35,9,0,4
3NT7uwO3fu5GILISWtch6K,138462,0.233,0.115,-21.659,0.0397,0.96,0.948,0.157,0.0467,67.064,9,0,4
5FkAs6yXGsHNssQRK1rQdL,126452,0.473,0.156,-20.884,0.0382,0.971,0.893,0.0887,0.188,186.095,4,0,4
22Cxltcqkydqd6KaRBQIBB,126261,0.574,0.257,-18.624,0.0545,0.967,0.873,0.0837,0.0588,115.018,7,1,4
3EUYXGrWKvJogvwAVziv0G,138396,0.294,0.096,-22.211,0.0334,0.99,0.917,0.101,0.067,104.947,4,1,3
5jM15l9xVegazLmeap45zK,134250,0.588,0.276,-16.418,0.035,0.979,0.882,0.0788,0.0742,120.032,7,1,4
12OmPtFjLRBdNLYnD7pNb4,149568,0.405,0.0926,-25.065,0.0333,0.947,0.846,0.0561,0.139,133.849,0,1,3
5jalbHRjPenmHkkx6v4Mcc,125455,0.477,0.164,-14.978,0.0296,0.935,0.646,0.285,0.126,88.039,6,1,4
6hfu7BtOYkcERf6L2iBm6M,138891,0.463,0.215,-20.303,0.0315,0.962,0.954,0.14,0.178,80.896,4,1,4
2kr1vY9F3ZcyN6WOgmnCCo,128081,0.565,0.124,-21.308,0.0356,0.974,0.865,0.109,0.0641,114.908,2,1,4
4ozXJoNalIzFmj0wF3MIWu,169765,0.531,0.181,-18.894,0.0282,0.932,0.949,0.119,0.217,105.025,0,1,3
5sZSh8qzgdRSJeXDpjKzgv,155873,0.448,0.147,-16.763,0.0365,0.935,0.961,0.111,0.0892,159.939,10,1,3
2pOMhcXAsPEZ8ddx90PVeV,140000,0.315,0.159,-18.955,0.0326,0.985,0.941,0.0651,0.111,180.046,10,0,4
1Sn0OAVEmYv7q0FwhtW3CA,127500,0.347,0.0596,-20.677,0.0323,0.965,0.924,0.104,0.0403,79.577,8,1,5
04aj0c26d8BPMkl4YbRhJW,132500,0.558,0.265,-12.802,0.0376,0.945,0.956,0.116,0.281,120.011,5,1,4
2TIyxg1FfqMpSdKqEOxlA4,143186,0.396,0.0844,-22.137,0.0322,0.979,0.881,0.109,0.229,74.874,0,1,4
61Qnx68FwO5hxGMYChG0em,133617,0.508,0.0642,-26.027,0.0404,0.975,0.906,0.107,0.0737,94.987,3,1,4
3jOh2djnj7INLkmOgj6ijj,112387,0.645,0.865,-5.486,0.046,0.073,0.178,0.282,0.874,79.976,1,1,4
7erSfQES5qyyDTMaLtXpPC,124586,0.588,0.984,-2.845,0.136,0.0526,0.671,0.0983,0.265,159.993,6,0,4
2xGRhAYQ7yfzqVcFh7A7Dt,128652,0.66,0.941,-4.858,0.0533,0.075,0.598,0.251,0.356,128.004,8,1,4
5GtuD7FgPBnZdMVSWK97Xt,122155,0.515,0.893,-5.184,0.0587,0.00112,0.53,0.208,0.522,165.06,9,1,4
6HGiq4atJC9YY2Th6qe60w,123867,0.8,0.841,-6.077,0.0982,0.00798,0.891,0.675,0.7,127.982,7,1,4
0OeptS7Juup6qxAhkQIkHj,137529,0.559,0.933,-5.933,0.185,0.00737,0.805,0.424,0.111,170.024,10,0,4
2yIZIwn4VNeR0KEyvmt4dQ,127422,0.695,0.95,-6.513,0.0598,0.0434,0.352,0.287,0.488,128.038,8,1,4
1vQ3S6clKsJNxkHJQKJRh4,135500,0.693,0.944,-4.249,0.0607,0.00451,0.532,0.282,0.674,150.041,5,1,4
6sTB81ApEENgcBRflrkVOK,120187,0.478,0.714,-3.863,0.144,0.349,9.98e-05,0.2,0.372,159.84,0,0,4
4p1qFCUjAWcUrKQILgBI7r,132545,0.457,0.922,-6.392,0.0387,0.000529,0.963,0.191,0.0594,179.984,8,1,4
52auGMpzCQpIY3l9Pmouaq,122771,0.428,0.897,-4.152,0.128,0.00935,0.0137,0.157,0.515,149.79,6,0,4
2JughdJHCAUHCdSCsFm9Rs,121636,0.648,0.942,-3.995,0.307,0.000829,0.284,0.905,0.518,165.068,5,1,4
