artist_name,artist_popularity,artist_followers
Whitney Houston,82,6367406
Luke Bryan,80,6212094
Kesha,82,6198015
2 Chainz,84,6177180
Fleetwood Mac,85,6145228
DaBaby,94,6074857
JAY-Z,88,6028730
Mumford & Sons,79,5990447
Young Thug,92,5986106
"Tyler, The Creator",87,5948367
Trippie Redd,89,5945560
Paramore,81,5815958
DJ Khaled,83,5757999
Roddy Ricch,89,5692211
The Neighbourhood,87,5650063
YNW Melly,83,5639559
Doja Cat,92,5634457
Mac Miller,88,5586958
A Boogie Wit da Hoodie,88,5545458
John Legend,84,5529270
Florence + The Machine,78,5499778
Black Eyed Peas,88,5436886
Zedd,82,5384404
Logic,84,5244685
Chance the Rapper,85,5218980
Zion & Lennox,82,5152394
NF,87,5051518
John Mayer,84,4950227
Jeremih,82,4866482
Meek Mill,83,4858464
G-Eazy,85,4783731
SZA,89,4782955
Quavo,86,4781940
Tame Impala,84,4731860
Five Finger Death Punch,80,4669720
Kid Cudi,89,4650598
Lil Skies,81,4644881
Rick Ross,84,4644376
Myke Towers,96,4591574
Frank Sinatra,81,4584722
Luke Combs,86,4539806
Hozier,83,4522709
Playboi Carti,86,4470191
Pop Smoke,94,4463354
Carrie Underwood,75,4458141
Jason Aldean,79,4420808
Kehlani,83,4420129
Vicente Fernández,78,4359585
Ice Cube,77,4286096
Wisin & Yandel,83,4285117
Jhené Aiko,84,4281019
Joji,87,4230055
Florida Georgia Line,83,4215746
Lil Nas X,82,4126536
Keith Urban,77,4110311
Rauw Alejandro,94,4036105
Fetty Wap,77,4021894
blackbear,88,4007050
Ski Mask The Slump God,82,3981983
Kevin Gates,82,3970347
Russ,83,3916495
French Montana,82,3842439
Van Halen,77,3804758
Gucci Mane,84,3736379
Ty Dolla $ign,90,3703642
The xx,72,3640303
Bring Me The Horizon,83,3609932
Megan Thee Stallion,89,3566184
ScHoolboy Q,79,3563152
Tory Lanez,86,3545918
H.E.R.,82,3511278
Pharrell Williams,84,3462126
Kenny Chesney,76,3344154
Billy Joel,81,3315065
Monsta X,73,3311639
Simon & Garfunkel,77,3282617
Polo G,89,3279887
Machine Gun Kelly,90,3208141
Kane Brown,81,3195543
T-Pain,83,3141547
TOMORROW X TOGETHER,77,3128492
$uicideboy$,86,3035722
Gunna,91,2962411
Bon Iver,81,2927732
Conan Gray,84,2927217
PnB Rock,79,2899005
Zendaya,76,2877481
Hillsong UNITED,77,2873482
A$AP Ferg,80,2869836
PARTYNEXTDOOR,82,2839732
NLE Choppa,82,2827635
Jon Z,77,2827586
girl in red,80,2818261
Rex Orange County,82,2814977
"Earth, Wind & Fire",77,2786932
Tones And I,83,2651797
Lil Tjay,90,2630714
Queens of the Stone Age,74,2598264
Justin Quiles,89,2573730
Macklemore & Ryan Lewis,79,2557083
Zac Brown Band,76,2547714
Daniel Caesar,81,2502439
Hans Zimmer,80,2453048
NCT U,76,2450177
George Strait,76,2406855
NAV,86,2402076
X Ambassadors,78,2378512
El Fantasma,80,2373864
Metro Boomin,86,2372556
Diplo,87,2363521
Vance Joy,80,2311780
Rich Homie Quan,71,2306040
Lil Durk,89,2303314
Charli XCX,78,2252716
Zion,77,2194362
Lil Xan,69,2142156
Dan + Shay,81,2131639
Summer Walker,82,2114973
Grupo Firme,83,2066285
Sam Hunt,76,2047479
Nipsey Hussle,76,2013594
Van Morrison,77,1980482
Offset,83,1957648
Hollywood Undead,76,1922633
Moneybagg Yo,80,1910588
Jhay Cortez,90,1788186
Queen Naija,70,1786314
Brooks & Dunn,74,1773348
Rob Zombie,70,1768456
Anderson .Paak,83,1747978
Tom Petty and the Heartbreakers,73,1718447
Rod Wave,79,1697901
Vampire Weekend,74,1697200
AJR,81,1677116
Pierce The Veil,73,1670323
Falling In Reverse,76,1655746
Glass Animals,84,1565088
Morgan Wallen,91,1521868
Kali Uchis,87,1518951
Jeremy Zucker,83,1492415
Brent Faiyaz,84,1424958
Daryl Hall & John Oates,76,1424725
Mother Mother,84,1420085
A Tribe Called Quest,72,1408554
Quando Rondo,69,1349361
City Girls,79,1317515
Don Toliver,86,1311573
Ivy Queen,68,1294646
Vince Staples,73,1285394
Ja Rule,74,1172605
Xzibit,70,1163690
Quiet Riot,64,1126817
G Herbo,77,1126436
Swae Lee,85,1108087
Olivia Rodrigo,89,1080494
ILLENIUM,80,1047288
Xscape,57,1037539
iann dior,88,1031906
Static-X,63,988901
Flatbush Zombies,67,971697
Chloe x Halle,72,954038
Andy Grammer,78,915924
The Head And The Heart,71,899616
Upchurch,76,870662
The Used,69,862116
King Von,82,838771
Curren$y,70,770291
Jack Harlow,85,758283
Quality Control,73,751918
Giveon,85,714049
Sub Urban,74,703467
Zac Efron,77,703159
Junior H,81,663587
ZHU,73,662154
Unknown Mortal Orchestra,69,632382
E-40,73,630103
Quinn XCII,80,610122
Arizona Zervas,78,583212
Steven Universe,72,565034
Allie X,65,564506
$NOT,79,558634
Vitamin String Quartet,73,539488
Beto Quintanilla,63,500201
UMI,70,489410
Uncle Kracker,68,474009
SOB X RBE,63,453059
Q-Tip,67,448021
Original Broadway Cast of Hamilton,81,391300
Bryce Vine,75,385140
Xavier Wulf,69,349096
Marc E. Bassy,73,348818
RY X,70,346266
Flo Milli,76,321518
Xavier Omär,63,269369
Qveen Herby,64,260891
Internet Money,84,240757
Sleepy Hallow,75,230317
Quadeca,63,199595
Leslie Odom Jr.,78,193890
Pooh Shiesty,81,179508
Craig Xen,66,174073
Zach Williams,65,156610
ZillaKami,70,150987
RAC,66,140716
UPSAHL,71,129661
UPPERROOM,67,119020
Brendon Urie,72,93002
Qumu,63,79062
Lofi Fruits Music,85,73791
Zacari,70,64453
Harris Heller,75,55068
A L E X,63,45036
Voskresenie,35,35011
Solfeggio Healing Frequencies MT,80,31840
Kellin Quinn,63,25623
Fets,80,14192
Artis_Tek,0,9
